2021-07-07-13-54-59-232552 AP-1 USER AP-1 SVCR 17 (sent)
2021-07-07-13-54-59-293999 USER 192.168.0.2 AP-1 SVCR 16 (recvd)
2021-07-07-13-54-59-808112 USER AP-1 USER SVCQ 18 (sent)
2021-07-07-13-54-59-869448 AP-1 192.168.0.2 USER SVCQ 18 (recvd)
2021-07-07-13-54-59-975296 AP-1 EdgeServer-1 AP-1 SVCQ 18 (sent)
2021-07-07-04-55-00-038027 EdgeServer-1 192.168.0.2 AP-1 SVCQ 18 (recvd)
2021-07-07-04-55-00-140615 EdgeServer-1 AP-1 EdgeServer-1 SVCR 18 (sent)
2021-07-07-13-55-00-188671 AP-1 192.168.0.113 EdgeServer-1 SVCR 18 (recvd)
2021-07-07-13-55-00-295877 AP-1 USER AP-1 SVCR 18 (sent)
2021-07-07-13-55-00-311102 USER 192.168.0.2 AP-1 SVCR 17 (recvd)
2021-07-07-13-55-00-812708 USER AP-1 USER SVCQ 19 (sent)
2021-07-07-13-55-00-827727 AP-1 192.168.0.2 USER SVCQ 19 (recvd)
2021-07-07-13-55-00-933425 AP-1 EdgeServer-1 AP-1 SVCQ 19 (sent)
2021-07-07-04-55-00-970155 EdgeServer-1 192.168.0.2 AP-1 SVCQ 19 (recvd)
2021-07-07-04-55-01-071490 EdgeServer-1 AP-1 EdgeServer-1 SVCR 19 (sent)
2021-07-07-13-55-01-146064 AP-1 192.168.0.113 EdgeServer-1 SVCR 19 (recvd)
2021-07-07-13-55-01-252996 AP-1 USER AP-1 SVCR 19 (sent)
2021-07-07-13-55-01-313786 USER 192.168.0.2 AP-1 SVCR 18 (recvd)
2021-07-07-13-55-01-828685 USER AP-1 USER SVCQ 20 (sent)
2021-07-07-13-55-01-889577 AP-1 192.168.0.2 USER SVCQ 20 (recvd)
2021-07-07-13-55-01-995100 AP-1 EdgeServer-1 AP-1 SVCQ 20 (sent)
2021-07-07-04-55-01-992450 EdgeServer-1 192.168.0.2 AP-1 SVCQ 20 (recvd)
2021-07-07-04-55-02-093304 EdgeServer-1 AP-1 EdgeServer-1 SVCR 20 (sent)
2021-07-07-13-55-02-208985 AP-1 192.168.0.113 EdgeServer-1 SVCR 20 (recvd)
2021-07-07-13-55-02-314903 AP-1 USER AP-1 SVCR 20 (sent)
2021-07-07-13-55-02-330045 USER 192.168.0.2 AP-1 SVCR 19 (recvd)
2021-07-07-13-55-02-831719 USER AP-1 USER SVCQ 21 (sent)
2021-07-07-13-55-02-846559 AP-1 192.168.0.2 USER SVCQ 21 (recvd)
2021-07-07-13-55-02-952346 AP-1 EdgeServer-1 AP-1 SVCQ 21 (sent)
2021-07-07-04-55-02-918293 EdgeServer-1 192.168.0.2 AP-1 SVCQ 21 (recvd)
2021-07-07-04-55-03-152592 EdgeServer-1 AP-1 EdgeServer-1 SVCR 21 (sent)
2021-07-07-13-55-03-269540 AP-1 192.168.0.113 EdgeServer-1 SVCR 21 (recvd)
2021-07-07-13-55-03-345647 USER 192.168.0.2 AP-1 SVCR 20 (recvd)
2021-07-07-13-55-03-376378 AP-1 USER AP-1 SVCR 21 (sent)
2021-07-07-13-55-03-858423 USER AP-1 USER SVCQ 22 (sent)
2021-07-07-13-55-03-903389 AP-1 192.168.0.2 USER SVCQ 22 (recvd)
2021-07-07-13-55-04-008469 AP-1 EdgeServer-1 AP-1 SVCQ 22 (sent)
2021-07-07-04-55-03-974981 EdgeServer-1 192.168.0.2 AP-1 SVCQ 22 (recvd)
2021-07-07-04-55-04-088884 EdgeServer-1 AP-1 EdgeServer-1 SVCR 22 (sent)
2021-07-07-13-55-04-219545 AP-1 192.168.0.113 EdgeServer-1 SVCR 22 (recvd)
2021-07-07-13-55-04-325391 AP-1 USER AP-1 SVCR 22 (sent)
2021-07-07-13-55-04-371177 USER 192.168.0.2 AP-1 SVCR 21 (recvd)
2021-07-07-13-55-04-871269 USER AP-1 USER SVCQ 23 (sent)
2021-07-07-13-55-04-963112 AP-1 192.168.0.2 USER SVCQ 23 (recvd)
2021-07-07-13-55-05-069423 AP-1 EdgeServer-1 AP-1 SVCQ 23 (sent)
