2021-07-07-18-33-24-734552 LOGR LOGR start
2021-07-07-18-33-29-243649 CTRL CTRL start
2021-07-07-18-33-45-024483 AP-1 AP-1 start ['.\\ap-3.py', 'AP-1', '-1']
2021-07-07-18-33-45-024483 AP-1 EdgeServer1 start  (initial launch)
2021-07-07-18-35-12-161593 EdgeServer-X EdgeServer-X Need 3 args! ['.\\docker-server-4.py']
2021-07-07-18-35-25-764828 EdgeServer-X EdgeServer-X Incorrect EdgeServer name! EdgeServer-1
2021-07-07-18-35-33-722801 EdgeServer1 EdgeServer1 start ['.\\docker-server-4.py', 'EdgeServer1', '-1']
2021-07-07-18-35-33-836601 EdgeServer1 AP-1 EdgeServer1 ES-READY (sent)
2021-07-07-18-35-33-943290 AP-1 127.0.0.1 EdgeServer1 ES-READY (recvd)
2021-07-07-18-36-18-206045 USER USER start ['.\\user-5.py', '-1']
2021-07-07-18-36-28-490841 AP-1 EdgeServer1 AP-1 SVCQ 9 (sent)
2021-07-07-18-36-28-598625 EdgeServer1 127.0.0.1 AP-1 SVCQ 9 (recvd)
2021-07-07-18-36-28-704155 EdgeServer1 AP-1 EdgeServer1 SVCR 9 (sent)
2021-07-07-18-36-28-779713 USER 127.0.0.1 AP-1 SVCR 8 (recvd)
2021-07-07-18-36-28-810011 AP-1 127.0.0.1 EdgeServer1 SVCR 9 (recvd)
2021-07-07-18-36-28-917539 AP-1 USER AP-1 SVCR 9 (sent)
2021-07-07-18-36-29-280165 USER AP-1 USER SVCQ 10 (sent)
2021-07-07-18-36-29-341018 AP-1 127.0.0.1 USER SVCQ 10 (recvd)
2021-07-07-18-36-29-448894 AP-1 EdgeServer1 AP-1 SVCQ 10 (sent)
2021-07-07-18-36-29-556099 EdgeServer1 127.0.0.1 AP-1 SVCQ 10 (recvd)
2021-07-07-18-36-29-661607 EdgeServer1 AP-1 EdgeServer1 SVCR 10 (sent)
2021-07-07-18-36-29-767930 AP-1 127.0.0.1 EdgeServer1 SVCR 10 (recvd)
2021-07-07-18-36-29-783320 USER 127.0.0.1 AP-1 SVCR 9 (recvd)
2021-07-07-18-36-29-874118 AP-1 USER AP-1 SVCR 10 (sent)
2021-07-07-18-36-30-298152 USER AP-1 USER SVCQ 11 (sent)
2021-07-07-18-36-30-404062 AP-1 127.0.0.1 USER SVCQ 11 (recvd)
2021-07-07-18-36-30-512059 AP-1 EdgeServer1 AP-1 SVCQ 11 (sent)
2021-07-07-18-36-30-618249 EdgeServer1 127.0.0.1 AP-1 SVCQ 11 (recvd)
2021-07-07-18-36-30-724912 EdgeServer1 AP-1 EdgeServer1 SVCR 11 (sent)
2021-07-07-18-36-30-801156 USER 127.0.0.1 AP-1 SVCR 10 (recvd)
2021-07-07-18-36-30-831174 AP-1 127.0.0.1 EdgeServer1 SVCR 11 (recvd)
2021-07-07-18-36-30-938230 AP-1 USER AP-1 SVCR 11 (sent)
2021-07-07-18-36-31-303537 USER AP-1 USER SVCQ 12 (sent)
2021-07-07-18-36-31-363668 AP-1 127.0.0.1 USER SVCQ 12 (recvd)
2021-07-07-18-36-31-469965 AP-1 EdgeServer1 AP-1 SVCQ 12 (sent)
2021-07-07-18-36-31-575925 EdgeServer1 127.0.0.1 AP-1 SVCQ 12 (recvd)
2021-07-07-18-36-31-682161 EdgeServer1 AP-1 EdgeServer1 SVCR 12 (sent)
2021-07-07-18-36-31-787477 AP-1 127.0.0.1 EdgeServer1 SVCR 12 (recvd)
2021-07-07-18-36-31-818188 USER 127.0.0.1 AP-1 SVCR 11 (recvd)
2021-07-07-18-36-31-894033 AP-1 USER AP-1 SVCR 12 (sent)
2021-07-07-18-36-32-333525 USER AP-1 USER SVCQ 13 (sent)
2021-07-07-18-36-32-423960 AP-1 127.0.0.1 USER SVCQ 13 (recvd)
2021-07-07-18-36-32-530411 AP-1 EdgeServer1 AP-1 SVCQ 13 (sent)
2021-07-07-18-36-32-636381 EdgeServer1 127.0.0.1 AP-1 SVCQ 13 (recvd)
